perturbation_index,target_gene,global_index,vcc_output_index,has_replogle_expression_gene,has_replogle_perturbation,replogle_perturbed_cell_count
0,ABCD1,2524,2524,0,0,0
1,ACLY,6219,6219,1,1,90
2,ADNP,2365,2365,1,1,156
3,AGO1,1924,1924,1,1,165
4,AKAP1,4965,4965,1,1,126
5,AKIRIN1,13090,13090,1,1,126
6,AKT2,2960,2960,1,1,105
7,ALG12,14354,14354,1,1,168
8,ANKRD52,7568,7568,1,1,13
9,ANKZF1,10588,10588,1,1,252
10,ANP32B,7104,7104,1,1,260
11,AP2A2,14389,14389,1,1,193
12,API5,11306,11306,1,1,206
13,ARL14EP,9138,9138,1,1,233
14,ASCC2,2192,2192,1,1,182
15,BCKDK,2741,2741,1,1,293
16,BCL6,4104,4104,0,1,155
17,BCL7C,2035,2035,1,1,119
18,BRD1,2232,2232,1,1,246
19,BRPF1,9654,9654,1,1,230
20,C5orf22,1516,1516,1,1,208
21,CAND1,3780,3780,1,1,59
22,CAPRIN2,3702,3702,0,0,0
23,CARM1,7926,7926,1,1,156
24,CAT,5017,5017,1,1,220
25,CCDC112,10836,10836,1,1,91
26,CDK8,6436,6436,1,1,181
27,CHD3,12182,12182,1,1,174
28,CHD6,5285,5285,1,1,185
29,CHKB,2174,2174,0,1,197
30,CLCN6,271,271,1,1,236
31,COIL,4966,4966,1,1,148
32,COMMD8,11972,11972,1,1,157
33,COQ10B,4301,4301,1,1,160
34,CSNK2A1,2407,2407,1,1,153
35,CYTH2,3013,3013,1,1,203
36,DBF4B,10211,10211,1,1,158
37,DBN1,4091,4091,1,1,187
38,DCAF16,10518,10518,1,1,84
39,DCP2,12788,12788,1,1,241
40,DDHD1,2257,2257,1,1,126
41,DEAF1,13485,13485,1,1,100
42,DEK,5395,5395,1,1,140
43,DHRS1,9701,9701,1,1,126
44,DHX35,2457,2457,0,1,71
45,DLAT,8967,8967,1,1,18
46,DMTF1,6760,6760,1,1,40
47,DNTTIP1,2458,2458,1,1,267
48,DRG2,3442,3442,1,1,188
49,DTNBP1,608,608,1,1,327
50,DVL3,10169,10169,1,1,338
51,E2F1,2440,2440,1,1,226
52,E2F4,16801,16801,1,1,158
53,EAPP,5934,5934,1,1,216
54,EEF1A2,2394,2394,0,1,273
