global_index,gene_symbol,ensembl_id,in_vcc_output,vcc_output_index,in_vcc2025,vcc2025_local_index,in_replogle,replogle_local_index,is_replogle_perturbation_target,replogle_perturbed_cell_count
0,TSPAN6,,1,0,1,17728,0,-1,0,0
1,TNMD,,1,1,1,17727,0,-1,0,0
2,DPM1,ENSG00000000419,1,2,1,16630,1,7641,1,106
3,SCYL3,ENSG00000000457,1,3,1,1400,1,655,0,0
4,C1orf112,ENSG00000000460,1,4,1,1396,1,653,1,267
5,FGR,,1,5,1,345,0,-1,0,0
6,CFH,,1,6,1,1511,0,-1,1,21
7,FUCA2,ENSG00000001036,1,7,1,6355,1,2950,1,248
8,GCLC,ENSG00000001084,1,8,1,6050,1,2809,1,326
9,NFYA,,1,9,1,5930,0,-1,1,130
10,STPG1,,1,10,1,285,0,-1,1,201
11,NIPAL3,ENSG00000001461,1,11,1,286,1,127,1,133
12,LAS1L,ENSG00000001497,1,12,1,17630,1,8086,1,117
13,ENPP4,,1,13,1,6001,0,-1,0,0
14,SEMA3F,,1,14,1,3337,0,-1,0,0
15,CFTR,,1,15,1,7048,0,-1,0,0
16,ANKIB1,ENSG00000001629,1,16,1,6862,1,3192,1,67
17,CYP51A1,ENSG00000001630,1,17,1,6859,1,3190,1,157
18,KRIT1,ENSG00000001631,1,18,1,6861,1,3191,1,261
19,RAD52,,1,19,1,10505,0,-1,1,432
20,BAD,ENSG00000002330,1,20,1,9928,1,4506,1,361
21,LAP3,ENSG00000002549,1,21,1,4141,1,1940,1,185
22,CD99,ENSG00000002586,1,22,1,17350,1,7998,1,115
23,HS3ST1,,1,23,1,4123,0,-1,0,0
24,AOC1,,1,24,1,7250,0,-1,0,0
25,WNT16,,1,25,1,7056,0,-1,0,0
26,HECW1,,1,26,1,6683,0,-1,0,0
27,MAD1L1,ENSG00000002822,1,27,1,6493,1,3013,1,220
28,LASP1,ENSG00000002834,1,28,1,14051,1,6488,1,249
29,SNX11,,1,29,1,14287,0,-1,1,239
30,TMEM176A,,1,30,1,7249,0,-1,0,0
31,M6PR,ENSG00000003056,1,31,1,10605,1,4794,1,190
32,KLHL13,,1,32,1,17837,0,-1,0,0
33,CYP26B1,,1,33,1,2223,0,-1,0,0
34,ICA1,ENSG00000003147,1,34,1,6544,1,3046,1,34
35,DBNDD1,,1,35,1,13599,0,-1,0,0
36,ALS2,ENSG00000003393,1,36,1,2755,1,1330,1,50
37,CASP10,ENSG00000003400,1,37,1,2747,1,1326,1,63
38,CFLAR,ENSG00000003402,1,38,1,2746,1,1325,1,265
39,TFPI,ENSG00000003436,1,39,1,2686,1,1290,1,30
40,NDUFAF7,ENSG00000003509,1,40,1,2067,1,966,1,44
41,RBM5,ENSG00000003756,1,41,1,3336,1,1589,1,99
42,MTMR7,,1,42,1,7357,0,-1,0,0
43,SLC7A2,,1,43,1,7358,0,-1,0,0
44,ARF5,ENSG00000004059,1,44,1,7081,1,3300,1,452
45,SARM1,,1,45,1,13918,0,-1,0,0
46,POLDIP2,ENSG00000004142,1,46,1,13915,1,6420,1,80
47,PLXND1,,1,47,1,3691,0,-1,1,392
48,CD38,,1,48,1,4133,0,-1,0,0
49,FKBP4,ENSG00000004478,1,49,1,10513,1,4760,1,184
50,KDM1A,ENSG00000004487,1,50,1,264,1,113,1,150
51,RBM6,ENSG00000004534,1,51,1,3335,1,1588,1,187
52,CAMKK1,,1,52,1,13664,0,-1,0,0
53,RECQL,ENSG00000004700,1,53,1,10694,1,4814,1,134
54,VPS50,ENSG00000004766,1,54,1,6871,1,3198,0,0
55,HSPB6,,1,55,1,15571,0,-1,0,0
56,ARHGAP33,,1,56,1,15573,0,-1,0,0
57,NDUFAB1,ENSG00000004779,1,57,1,13127,1,6056,1,227
58,PDK4,,1,58,1,6886,0,-1,0,0
59,SLC22A16,,1,59,1,6213,0,-1,0,0
60,ZMYND10,,1,60,1,3350,0,-1,0,0
61,ABCB5,,1,61,1,6576,0,-1,0,0
62,ARX,,1,62,1,17450,0,-1,1,439
63,SLC25A13,ENSG00000004864,1,63,1,6888,1,3201,1,152
64,ST7,ENSG00000004866,1,64,1,7045,1,3288,1,68
65,CDC27,ENSG00000004897,1,65,1,14268,1,6578,1,340
66,SLC4A1,,1,66,1,14228,0,-1,0,0
67,CALCR,,1,67,1,6872,0,-1,0,0
68,HCCS,ENSG00000004961,1,68,1,17374,1,8004,1,134
69,DVL2,ENSG00000004975,1,69,1,13736,1,6355,1,278
70,PRSS22,,1,70,1,12961,0,-1,0,0
71,UPF1,ENSG00000005007,1,71,1,15435,1,7169,1,270
72,SKAP2,ENSG00000005020,1,72,1,6606,1,3073,1,224
73,SLC25A5,ENSG00000005022,1,73,1,17847,1,8152,1,170
74,MCUB,ENSG00000005059,1,74,1,4484,1,2078,1,256
75,HOXA11,,1,75,1,6616,0,-1,1,72
76,DHX33,ENSG00000005100,1,76,1,13709,1,6345,1,266
77,MEOX1,,1,77,1,14209,0,-1,1,191
78,THSD7A,,1,78,1,6548,0,-1,0,0
79,LIG3,ENSG00000005156,1,79,1,13991,1,6461,1,91
80,RPAP3,ENSG00000005175,1,80,1,10778,1,4860,1,34
81,ACSM3,ENSG00000005187,1,81,1,13097,1,6037,1,75
82,REXO5,ENSG00000005189,1,82,1,13101,1,6040,0,0
83,CIAPIN1,ENSG00000005194,1,83,1,13321,1,6160,1,211
84,SPPL2B,ENSG00000005206,1,84,1,15004,1,6958,1,139
85,FAM214B,,1,85,1,8048,0,-1,0,0
86,COPZ2,,1,86,1,14284,0,-1,0,0
87,PRKAR2B,ENSG00000005249,1,87,1,7011,1,3269,1,296
88,MSL3,ENSG00000005302,1,88,1,17377,1,8006,1,277
89,CREBBP,ENSG00000005339,1,89,1,12994,1,5981,1,147
90,TSPOAP1,,1,90,1,14381,0,-1,0,0
91,MPO,,1,91,1,14380,0,-1,0,0
92,PON1,,1,92,1,6882,0,-1,0,0
93,GCFC2,ENSG00000005436,1,93,1,2270,1,1087,1,155
94,WDR54,ENSG00000005448,1,94,1,2249,1,1076,1,453
95,CROT,,1,95,1,6838,0,-1,0,0
96,ABCB4,,1,96,1,6839,0,-1,0,0
97,KMT2E,ENSG00000005483,1,97,1,7000,1,3261,1,77
98,RHBDD2,ENSG00000005486,1,98,1,6805,1,3170,1,387
99,SOX8,,1,99,1,12892,0,-1,1,202
100,IBTK,ENSG00000005700,1,100,1,6111,1,2833,1,371
101,ZNF195,ENSG00000005801,1,101,1,9379,1,4319,1,209
102,MYCBP2,ENSG00000005810,1,102,1,11649,1,5307,1,276
103,FBXL3,ENSG00000005812,1,103,1,11648,1,5306,1,155
104,ITGAL,,1,104,1,13202,0,-1,0,0
105,PDK2,,1,105,1,14324,0,-1,1,161
106,ITGA3,,1,106,1,14323,0,-1,0,0
107,ZFX,ENSG00000005889,1,107,1,17446,1,8030,1,157
108,LAMP2,ENSG00000005893,1,108,1,17863,1,8164,1,195
109,ITGA2B,,1,109,1,14233,0,-1,1,232
110,ASB4,,1,110,1,6885,0,-1,0,0
111,GDE1,ENSG00000006007,1,111,1,13084,1,6033,1,309
112,REX1BD,ENSG00000006015,1,112,0,-1,1,7168,1,134
113,CRLF1,,1,113,1,15430,0,-1,0,0
114,OSBPL7,,1,114,1,14276,0,-1,0,0
115,TMEM98,ENSG00000006042,1,115,1,13979,1,6459,1,280
116,YBX2,,1,116,1,13743,0,-1,1,281
117,KRT33A,,1,117,1,14131,0,-1,0,0
118,MAP3K14,,1,118,1,14254,0,-1,0,0
119,ABCC8,,1,119,1,9540,0,-1,0,0
120,CACNG3,,1,120,1,13134,0,-1,0,0
121,TMEM132A,,1,121,1,9837,0,-1,0,0
122,AP2B1,ENSG00000006125,1,122,1,14005,1,6465,1,228
123,TAC1,,1,123,1,6893,0,-1,0,0
124,ZNF263,ENSG00000006194,1,124,1,12979,1,5976,1,333
125,CX3CL1,,1,125,1,13319,0,-1,0,0
126,SPATA20,,1,126,1,14338,0,-1,0,0
127,CACNA1G,,1,127,1,14339,0,-1,0,0
128,TNFRSF12A,ENSG00000006327,1,128,1,12968,1,5970,1,154
129,DLX6,,1,129,1,6890,0,-1,1,166
130,MAP3K9,,1,130,1,12087,0,-1,0,0
131,RALA,ENSG00000006451,1,131,1,6675,1,3096,1,111
132,BAIAP2L1,ENSG00000006453,1,132,1,6898,1,3205,1,193
