global_index,gene_symbol,in_vcc_output,go_terms,reactome_pathways,string_degree,grn_out_degree,grn_in_degree,active_prior_count
0,TSPAN6,1,7,0,17,0,0,2
1,TNMD,1,6,0,33,0,3,3
2,DPM1,1,13,5,67,0,0,3
3,SCYL3,1,7,0,11,0,0,2
4,C1orf112,1,23,0,34,0,0,2
5,FGR,1,40,5,46,0,0,3
6,CFH,1,20,1,62,0,13,4
7,FUCA2,1,11,3,26,0,0,3
8,GCLC,1,32,3,45,0,28,4
9,NFYA,1,19,5,44,91,28,4
10,STPG1,1,4,0,6,0,0,2
11,NIPAL3,1,5,1,19,0,0,3
12,LAS1L,1,16,1,42,0,0,3
13,ENPP4,1,8,1,9,0,0,3
14,SEMA3F,1,21,0,35,0,7,3
15,CFTR,1,50,11,116,0,35,4
16,ANKIB1,1,11,0,13,0,0,2
17,CYP51A1,1,16,5,48,0,12,4
18,KRIT1,1,22,0,34,0,0,2
19,RAD52,1,21,3,84,0,0,3
20,BAD,1,31,5,41,0,12,4
21,LAP3,1,15,0,47,0,1,3
22,CD99,1,8,2,55,0,9,4
23,HS3ST1,1,6,1,33,0,0,3
24,AOC1,1,18,3,39,0,0,3
25,WNT16,1,18,2,40,0,4,4
26,HECW1,1,9,1,38,0,0,3
27,MAD1L1,1,25,6,56,0,8,4
28,LASP1,1,12,0,36,0,1,3
29,SNX11,1,8,0,34,0,0,2
30,TMEM176A,1,3,0,17,0,0,2
31,M6PR,1,22,5,40,0,0,3
32,KLHL13,1,8,2,41,0,0,3
33,CYP26B1,1,31,3,54,0,5,4
34,ICA1,1,12,0,26,0,1,3
35,DBNDD1,1,2,0,22,0,0,2
36,ALS2,1,31,2,44,0,2,4
37,CASP10,1,16,4,38,0,1,4
38,CFLAR,1,52,1,46,0,23,4
39,TFPI,1,11,0,43,0,0,2
40,NDUFAF7,1,9,1,37,0,0,3
41,RBM5,1,14,3,43,0,1,4
42,MTMR7,1,16,2,34,0,0,3
43,SLC7A2,1,21,0,32,0,0,2
44,ARF5,1,14,2,46,0,0,3
45,SARM1,1,31,0,37,0,1,3
46,POLDIP2,1,8,0,34,0,0,2
47,PLXND1,1,23,3,41,0,0,3
48,CD38,1,39,1,77,0,15,4
49,FKBP4,1,22,5,43,0,5,4
50,KDM1A,1,65,9,127,0,20,4
51,RBM6,1,7,0,32,0,0,2
52,CAMKK1,1,11,3,30,0,0,3
53,RECQL,1,20,0,38,0,2,3
54,VPS50,1,8,0,39,0,0,2
55,HSPB6,1,17,0,33,0,0,2
56,ARHGAP33,1,13,3,18,0,0,3
57,NDUFAB1,1,22,5,153,0,0,3
58,PDK4,1,19,3,42,0,25,4
59,SLC22A16,1,14,1,30,0,0,3
60,ZMYND10,1,12,0,48,0,0,2
61,ABCB5,1,13,1,38,0,1,4
62,ARX,1,25,0,37,26,4,3
63,SLC25A13,1,25,3,34,0,0,3
64,ST7,1,5,0,12,0,1,3
65,CDC27,1,20,18,72,0,1,4
66,SLC4A1,1,28,4,68,0,4,4
67,CALCR,1,35,2,37,0,6,4
68,HCCS,1,11,1,37,0,0,3
69,DVL2,1,35,13,88,0,0,3
70,PRSS22,1,8,0,6,0,0,2
71,UPF1,1,46,2,82,0,1,4
72,SKAP2,1,6,1,33,0,1,4
73,SLC25A5,1,29,3,47,0,21,4
74,MCUB,1,14,2,24,0,0,3
75,HOXA11,1,26,1,35,8,1,4
76,DHX33,1,23,0,36,0,0,2
77,MEOX1,1,19,0,33,7,1,3
78,THSD7A,1,4,2,17,0,0,3
79,LIG3,1,27,5,45,0,1,4
80,RPAP3,1,6,0,58,0,0,2
81,ACSM3,1,14,1,35,0,0,3
82,REXO5,1,7,0,15,0,0,2
83,CIAPIN1,1,17,1,41,0,0,3
84,SPPL2B,1,16,1,10,0,0,3
85,FAM214B,1,2,0,23,0,0,2
86,COPZ2,1,12,2,45,0,0,3
87,PRKAR2B,1,33,19,45,0,5,4
88,MSL3,1,12,1,45,0,0,3
89,CREBBP,1,47,57,199,36,74,4
90,TSPOAP1,1,10,6,35,0,16,4
91,MPO,1,40,2,57,0,21,4
92,PON1,1,18,2,45,0,5,4
93,GCFC2,1,8,1,38,0,0,3
94,WDR54,1,10,0,19,0,0,2
95,CROT,1,13,2,34,0,0,3
96,ABCB4,1,27,3,40,0,2,4
97,KMT2E,1,26,0,50,4,3,3
98,RHBDD2,1,10,0,28,0,0,2
99,SOX8,1,45,0,34,4,1,3
100,IBTK,1,9,0,34,0,0,2
101,ZNF195,1,6,1,8,1,0,4
102,MYCBP2,1,26,0,42,0,2,3
103,FBXL3,1,15,4,41,0,0,3
104,ITGAL,1,33,6,60,0,6,4
105,PDK2,1,20,2,34,0,2,4
106,ITGA3,1,45,4,78,0,7,4
107,ZFX,1,9,0,43,4,0,3
108,LAMP2,1,41,3,49,0,0,3
109,ITGA2B,1,24,16,94,0,15,4
110,ASB4,1,11,2,47,0,0,3
111,GDE1,1,13,1,35,0,0,3
112,REX1BD,1,1,0,14,0,0,2
113,CRLF1,1,18,2,20,0,1,4
114,OSBPL7,1,15,1,19,0,0,3
115,TMEM98,1,13,0,19,0,0,2
116,YBX2,1,9,0,38,1,2,3
117,KRT33A,1,9,2,37,0,0,3
118,MAP3K14,1,13,5,42,0,17,4
