term_index,term_id
0,R-HSA-1059683
1,R-HSA-109704
2,R-HSA-110056
3,R-HSA-110312
4,R-HSA-110314
5,R-HSA-110320
6,R-HSA-110328
7,R-HSA-110329
8,R-HSA-110330
9,R-HSA-110331
10,R-HSA-110357
11,R-HSA-110362
12,R-HSA-110373
13,R-HSA-110381
14,R-HSA-111367
15,R-HSA-111446
16,R-HSA-111447
17,R-HSA-111448
18,R-HSA-111452
19,R-HSA-111453
20,R-HSA-111457
21,R-HSA-111458
22,R-HSA-111459
23,R-HSA-111463
24,R-HSA-111464
25,R-HSA-111465
26,R-HSA-111469
27,R-HSA-111471
28,R-HSA-111885
29,R-HSA-111931
30,R-HSA-111932
31,R-HSA-111933
32,R-HSA-111957
33,R-HSA-111995
34,R-HSA-111997
35,R-HSA-112043
36,R-HSA-112122
37,R-HSA-112126
38,R-HSA-112303
39,R-HSA-112308
40,R-HSA-112310
41,R-HSA-112311
42,R-HSA-112314
43,R-HSA-112382
44,R-HSA-112399
45,R-HSA-112409
46,R-HSA-112411
47,R-HSA-112412
48,R-HSA-113418
49,R-HSA-113501
50,R-HSA-113507
51,R-HSA-114294
52,R-HSA-114508
53,R-HSA-114516
54,R-HSA-114604
55,R-HSA-114608
56,R-HSA-1169091
57,R-HSA-1169092
58,R-HSA-1169408
59,R-HSA-1170546
60,R-HSA-1181150
61,R-HSA-1221632
62,R-HSA-1222449
63,R-HSA-1222556
64,R-HSA-1227986
65,R-HSA-1234158
66,R-HSA-1234174
67,R-HSA-1234176
68,R-HSA-1236382
69,R-HSA-1236394
70,R-HSA-1236973
71,R-HSA-1236974
72,R-HSA-1236977
73,R-HSA-1236978
74,R-HSA-1237044
75,R-HSA-1237112
76,R-HSA-1247673
77,R-HSA-1250196
78,R-HSA-1250342
79,R-HSA-1250347
80,R-HSA-1251932
81,R-HSA-1251985
82,R-HSA-1253288
83,R-HSA-1257604
84,R-HSA-1266695
85,R-HSA-1268020
86,R-HSA-1295596
87,R-HSA-1296025
88,R-HSA-1296041
89,R-HSA-1296052
90,R-HSA-1296053
91,R-HSA-1296061
92,R-HSA-1296067
93,R-HSA-1296072
94,R-HSA-1299287
95,R-HSA-1299308
96,R-HSA-1299316
97,R-HSA-1299344
98,R-HSA-1299361
99,R-HSA-1299503
100,R-HSA-1300642
101,R-HSA-1300645
102,R-HSA-1306955
103,R-HSA-1307965
104,R-HSA-1358803
105,R-HSA-1362277
106,R-HSA-1362300
107,R-HSA-1362409
108,R-HSA-1368108
109,R-HSA-1369007
110,R-HSA-1369062
111,R-HSA-139853
112,R-HSA-139910
113,R-HSA-139915
114,R-HSA-140180
115,R-HSA-140342
116,R-HSA-140534
117,R-HSA-141333
118,R-HSA-141334
119,R-HSA-141405
120,R-HSA-141430
121,R-HSA-141444
122,R-HSA-1433557
123,R-HSA-1433559
124,R-HSA-1433617
125,R-HSA-1442490
126,R-HSA-1445148
127,R-HSA-1461957
128,R-HSA-1461973
129,R-HSA-1462054
130,R-HSA-1474151
131,R-HSA-1474228
132,R-HSA-1475029
133,R-HSA-1482788
134,R-HSA-1482798
135,R-HSA-1482801
136,R-HSA-1482839
137,R-HSA-1482883
138,R-HSA-1482922
139,R-HSA-1482925
140,R-HSA-1483076
141,R-HSA-1483101
142,R-HSA-1483115
143,R-HSA-1483148
144,R-HSA-1483152
145,R-HSA-1483166
146,R-HSA-1483191
147,R-HSA-1483196
148,R-HSA-1483206
149,R-HSA-1483213
150,R-HSA-1483226
151,R-HSA-1483248
152,R-HSA-1483255
153,R-HSA-1489509
154,R-HSA-1502540
155,R-HSA-1538133
156,R-HSA-156581
157,R-HSA-156582
158,R-HSA-156584
159,R-HSA-156588
160,R-HSA-156590
161,R-HSA-1566948
162,R-HSA-1566977
163,R-HSA-156711
164,R-HSA-156827
165,R-HSA-156842
166,R-HSA-156902
167,R-HSA-159227
168,R-HSA-159230
169,R-HSA-159231
170,R-HSA-159236
171,R-HSA-1592389
172,R-HSA-159418
173,R-HSA-159424
174,R-HSA-159740
175,R-HSA-159763
176,R-HSA-159782
177,R-HSA-1606322
178,R-HSA-1606341
179,R-HSA-1614517
180,R-HSA-1614558
181,R-HSA-1614603
182,R-HSA-1614635
183,R-HSA-162585
184,R-HSA-162588
185,R-HSA-162592
186,R-HSA-162594
187,R-HSA-162599
188,R-HSA-162658
189,R-HSA-162699
190,R-HSA-162710
191,R-HSA-162791
192,R-HSA-163125
193,R-HSA-163210
194,R-HSA-163282
195,R-HSA-1632852
196,R-HSA-163316
197,R-HSA-163358
198,R-HSA-163359
199,R-HSA-163560
200,R-HSA-163615
201,R-HSA-163680
202,R-HSA-163754
203,R-HSA-163765
204,R-HSA-163767
205,R-HSA-163841
206,R-HSA-164378
207,R-HSA-164516
208,R-HSA-164525
209,R-HSA-164843
210,R-HSA-164939
211,R-HSA-164940
212,R-HSA-164944
213,R-HSA-165054
214,R-HSA-1650814
215,R-HSA-165158
216,R-HSA-165159
217,R-HSA-165160
218,R-HSA-165181
219,R-HSA-1655829
220,R-HSA-166016
221,R-HSA-166020
222,R-HSA-1660499
223,R-HSA-1660514
224,R-HSA-1660516
225,R-HSA-1660517
226,R-HSA-166058
227,R-HSA-1660661
228,R-HSA-166166
229,R-HSA-166187
230,R-HSA-166208
231,R-HSA-1663150
232,R-HSA-166662
233,R-HSA-166663
234,R-HSA-166665
235,R-HSA-167021
236,R-HSA-167044
237,R-HSA-167060
238,R-HSA-167152
239,R-HSA-167158
240,R-HSA-167160
241,R-HSA-167161
242,R-HSA-167162
243,R-HSA-167172
244,R-HSA-167200
245,R-HSA-167238
246,R-HSA-167242
247,R-HSA-167243
248,R-HSA-167246
249,R-HSA-167287
250,R-HSA-167290
251,R-HSA-167590
252,R-HSA-167826
253,R-HSA-1679131
254,R-HSA-168138
255,R-HSA-168142
256,R-HSA-168164
257,R-HSA-168176
258,R-HSA-168179
259,R-HSA-168181
260,R-HSA-168188
261,R-HSA-168271
262,R-HSA-168275
263,R-HSA-168276
264,R-HSA-168277
265,R-HSA-168315
266,R-HSA-168316
267,R-HSA-168325
268,R-HSA-168330
269,R-HSA-168333
270,R-HSA-168638
271,R-HSA-168927
272,R-HSA-168928
273,R-HSA-169131
274,R-HSA-169911
275,R-HSA-170660
276,R-HSA-170670
277,R-HSA-170822
278,R-HSA-170968
279,R-HSA-170984
280,R-HSA-171007
281,R-HSA-171286
282,R-HSA-171306
283,R-HSA-171319
284,R-HSA-173107
285,R-HSA-173599
286,R-HSA-173623
287,R-HSA-173736
288,R-HSA-174048
289,R-HSA-174084
290,R-HSA-174113
291,R-HSA-174154
292,R-HSA-174178
293,R-HSA-174184
294,R-HSA-174362
295,R-HSA-174403
296,R-HSA-174411
297,R-HSA-174414
298,R-HSA-174417
299,R-HSA-174430
300,R-HSA-174437
301,R-HSA-174490
302,R-HSA-174577
303,R-HSA-175474
304,R-HSA-175567
305,R-HSA-176034
306,R-HSA-176187
307,R-HSA-176407
308,R-HSA-176408
309,R-HSA-176409
310,R-HSA-176412
311,R-HSA-176417
312,R-HSA-176974
313,R-HSA-177128
314,R-HSA-177135
315,R-HSA-177162
316,R-HSA-177504
317,R-HSA-177539
318,R-HSA-177929
319,R-HSA-179409
320,R-HSA-179812
321,R-HSA-1799339
322,R-HSA-180024
323,R-HSA-180292
324,R-HSA-180336
325,R-HSA-180534
326,R-HSA-180585
327,R-HSA-180689
