local_index,gene_symbol,ensembl_id,global_index,output_index
0,TSPAN6,,0,0
1,TNMD,,1,1
2,DPM1,,2,2
3,SCYL3,,3,3
4,C1orf112,,4,4
5,FGR,,5,5
6,CFH,,6,6
7,FUCA2,,7,7
8,GCLC,,8,8
9,NFYA,,9,9
10,STPG1,,10,10
11,NIPAL3,,11,11
12,LAS1L,,12,12
13,ENPP4,,13,13
14,SEMA3F,,14,14
15,CFTR,,15,15
16,ANKIB1,,16,16
17,CYP51A1,,17,17
18,KRIT1,,18,18
19,RAD52,,19,19
20,BAD,,20,20
21,LAP3,,21,21
22,CD99,,22,22
23,HS3ST1,,23,23
24,AOC1,,24,24
25,WNT16,,25,25
26,HECW1,,26,26
27,MAD1L1,,27,27
28,LASP1,,28,28
29,SNX11,,29,29
30,TMEM176A,,30,30
31,M6PR,,31,31
32,KLHL13,,32,32
33,CYP26B1,,33,33
34,ICA1,,34,34
35,DBNDD1,,35,35
36,ALS2,,36,36
37,CASP10,,37,37
38,CFLAR,,38,38
39,TFPI,,39,39
40,NDUFAF7,,40,40
41,RBM5,,41,41
42,MTMR7,,42,42
43,SLC7A2,,43,43
44,ARF5,,44,44
45,SARM1,,45,45
46,POLDIP2,,46,46
47,PLXND1,,47,47
48,CD38,,48,48
49,FKBP4,,49,49
50,KDM1A,,50,50
51,RBM6,,51,51
52,CAMKK1,,52,52
53,RECQL,,53,53
54,VPS50,,54,54
55,HSPB6,,55,55
56,ARHGAP33,,56,56
57,NDUFAB1,,57,57
58,PDK4,,58,58
59,SLC22A16,,59,59
60,ZMYND10,,60,60
61,ABCB5,,61,61
62,ARX,,62,62
63,SLC25A13,,63,63
64,ST7,,64,64
65,CDC27,,65,65
66,SLC4A1,,66,66
67,CALCR,,67,67
68,HCCS,,68,68
69,DVL2,,69,69
70,PRSS22,,70,70
71,UPF1,,71,71
72,SKAP2,,72,72
73,SLC25A5,,73,73
74,MCUB,,74,74
75,HOXA11,,75,75
76,DHX33,,76,76
77,MEOX1,,77,77
78,THSD7A,,78,78
79,LIG3,,79,79
80,RPAP3,,80,80
81,ACSM3,,81,81
82,REXO5,,82,82
83,CIAPIN1,,83,83
84,SPPL2B,,84,84
85,FAM214B,,85,85
86,COPZ2,,86,86
87,PRKAR2B,,87,87
88,MSL3,,88,88
89,CREBBP,,89,89
90,TSPOAP1,,90,90
91,MPO,,91,91
92,PON1,,92,92
93,GCFC2,,93,93
94,WDR54,,94,94
95,CROT,,95,95
96,ABCB4,,96,96
97,KMT2E,,97,97
98,RHBDD2,,98,98
99,SOX8,,99,99
100,IBTK,,100,100
101,ZNF195,,101,101
102,MYCBP2,,102,102
103,FBXL3,,103,103
104,ITGAL,,104,104
105,PDK2,,105,105
106,ITGA3,,106,106
107,ZFX,,107,107
108,LAMP2,,108,108
109,ITGA2B,,109,109
110,ASB4,,110,110
111,GDE1,,111,111
112,REX1BD,,112,112
113,CRLF1,,113,113
114,OSBPL7,,114,114
115,TMEM98,,115,115
116,YBX2,,116,116
117,KRT33A,,117,117
118,MAP3K14,,118,118
119,ABCC8,,119,119
120,CACNG3,,120,120
121,TMEM132A,,121,121
122,AP2B1,,122,122
123,TAC1,,123,123
124,ZNF263,,124,124
125,CX3CL1,,125,125
126,SPATA20,,126,126
127,CACNA1G,,127,127
128,TNFRSF12A,,128,128
129,DLX6,,129,129
130,MAP3K9,,130,130
131,RALA,,131,131
132,BAIAP2L1,,132,132
133,KDM7A,,133,133
134,ETV1,,134,134
135,AGK,,135,135
136,ALDH3B1,,136,136
137,TTC22,,137,137
