local_index,gene_symbol,ensembl_id,global_index,output_index
0,LINC01409,ENSG00000237491,18536,-1
1,LINC01128,ENSG00000228794,18537,-1
2,NOC2L,ENSG00000188976,15556,15556
3,KLHL17,ENSG00000187961,15352,15352
4,HES4,ENSG00000188290,15417,15417
5,ISG15,ENSG00000187608,15275,15275
6,SDF4,ENSG00000078808,1397,1397
7,B3GALT6,ENSG00000176022,13326,13326
8,UBE2J2,ENSG00000160087,10009,10009
9,ACAP3,ENSG00000131584,6230,6230
10,PUSL1,ENSG00000169972,12175,12175
11,INTS11,ENSG00000127054,5676,5676
12,DVL1,ENSG00000107404,3307,3307
13,MXRA8,ENSG00000162576,10335,10335
14,AURKAIP1,ENSG00000175756,13288,13288
15,CCNL2,ENSG00000221978,17322,17322
16,MRPL20-AS1,ENSG00000224870,18538,-1
17,MRPL20,ENSG00000242485,18539,-1
18,ATAD3B,ENSG00000160072,10007,10007
19,ATAD3A,ENSG00000197785,16101,16101
20,SSU72,ENSG00000160075,10008,10008
21,FNDC10,ENSG00000228594,17427,17427
22,MIB2,ENSG00000197530,16034,16034
23,CDK11B,ENSG00000248333,17813,17813
24,SLC35E2B,ENSG00000189339,15632,15632
25,CDK11A,ENSG00000008128,199,199
26,NADK,ENSG00000008130,200,200
27,GNB1,ENSG00000078369,1379,1379
28,FAAP20,ENSG00000162585,10336,10336
29,SKI,ENSG00000157933,9763,9763
30,RER1,ENSG00000157916,9761,9761
31,WRAP73,ENSG00000116213,4406,4406
32,SMIM1,ENSG00000235169,17543,17543
33,LRRC47,ENSG00000130764,6106,6106
34,CEP104,ENSG00000116198,4401,4401
35,DFFB,ENSG00000169598,12095,12095
36,C1orf174,ENSG00000198912,16438,16438
37,RPL22,ENSG00000116251,18540,-1
38,ICMT,ENSG00000116237,4408,4408
39,ACOT7,ENSG00000097021,2008,2008
40,NOL9,ENSG00000162408,10299,10299
41,ZBTB48,ENSG00000204859,16731,16731
42,KLHL21,ENSG00000162413,10301,10301
43,PHF13,ENSG00000116273,4412,4412
44,THAP3,ENSG00000041988,564,564
45,DNAJC11,ENSG00000007923,189,189
46,CAMTA1,ENSG00000171735,12561,12561
47,VAMP3,ENSG00000049245,639,639
48,PER3,ENSG00000049246,640,640
49,PARK7,ENSG00000116288,4414,4414
50,RERE,ENSG00000142599,7944,7944
51,ENO1,ENSG00000074800,1234,1234
52,SLC25A33,ENSG00000171612,12541,12541
53,PIK3CD-AS2,ENSG00000231789,18541,-1
54,CLSTN1,ENSG00000171603,12536,12536
55,CTNNBIP1,ENSG00000178585,13721,13721
56,LZIC,ENSG00000162441,10310,10310
57,NMNAT1,ENSG00000173614,12943,12943
58,UBE4B,ENSG00000130939,6134,6134
59,KIF1B,ENSG00000054523,710,710
60,PGD,ENSG00000142657,7956,7956
61,CENPS,ENSG00000175279,13213,13213
62,DFFA,ENSG00000160049,10001,10001
63,PEX14,ENSG00000142655,7955,7955
64,TARDBP,ENSG00000120948,4956,4956
65,SRM,ENSG00000116649,4440,4440
66,EXOSC10,ENSG00000171824,12585,12585
67,MTOR,ENSG00000198793,16371,16371
68,UBIAD1,ENSG00000120942,4955,4955
69,FBXO6,ENSG00000116663,4442,4442
70,MAD2L2,ENSG00000116670,4445,4445
71,AGTRAP,ENSG00000177674,13590,13590
72,MTHFR,ENSG00000177000,13483,13483
73,CLCN6,ENSG00000011021,271,271
74,KIAA2013,ENSG00000116685,4449,4449
75,PLOD1,ENSG00000083444,1545,1545
76,MFN2,ENSG00000116688,4450,4450
