local_index,gene_symbol,ensembl_id,global_index,output_index
0,NOC2L,,15556,15556
1,PLEKHN1,,15270,15270
2,HES4,,15417,15417
3,ISG15,,15275,15275
4,AGRN,,15391,15391
5,SDF4,,1397,1397
6,B3GALT6,,13326,13326
7,UBE2J2,,10009,10009
8,ACAP3,,6230,6230
9,PUSL1,,12175,12175
10,INTS11,,5676,5676
11,CPTP,,17352,17352
12,DVL1,,3307,3307
13,MXRA8,,10335,10335
14,AURKAIP1,,13288,13288
15,CCNL2,,17322,17322
16,MRPL20-AS1,,18538,-1
17,MRPL20,,18539,-1
18,ATAD3B,,10007,10007
19,ATAD3A,,16101,16101
20,SSU72,,10008,10008
21,MIB2,,16034,16034
22,CDK11B,,17813,17813
23,CDK11A,,199,199
24,NADK,,200,200
25,GNB1,,1379,1379
26,FAAP20,,10336,10336
27,SKI,,9763,9763
28,RER1,,9761,9761
29,PEX10,,9760,9760
30,PRXL2B,,9754,9754
31,MEGF6,,10337,10337
32,TPRG1L,,9784,9784
33,WRAP73,,4406,4406
34,LRRC47,,6106,6106
35,CEP104,,4401,4401
36,C1orf174,,16438,16438
37,RPL22,,18540,-1
38,RNF207,,9802,9802
39,ICMT,,4408,4408
40,ACOT7,,2008,2008
41,NOL9,,10299,10299
42,KLHL21,,10301,10301
43,PHF13,,4412,4412
44,THAP3,,564,564
45,DNAJC11,,189,189
46,CAMTA1,,12561,12561
47,VAMP3,,639,639
48,PER3,,640,640
49,PARK7,,4414,4414
50,ERRFI1,,4413,4413
51,RERE,,7944,7944
52,ENO1,,1234,1234
53,SPSB1,,12543,12543
54,SLC25A33,,12541,12541
55,CLSTN1,,12536,12536
56,CTNNBIP1,,13721,13721
57,LZIC,,10310,10310
58,NMNAT1,,12943,12943
59,UBE4B,,6134,6134
60,KIF1B,,710,710
61,PGD,,7956,7956
62,CENPS,,13213,13213
63,DFFA,,10001,10001
64,PEX14,,7955,7955
65,TARDBP,,4956,4956
66,SRM,,4440,4440
67,EXOSC10,,12585,12585
68,MTOR,,16371,16371
69,UBIAD1,,4955,4955
70,MAD2L2,,4445,4445
71,AGTRAP,,13590,13590
72,KIAA2013,,4449,4449
73,PLOD1,,1545,1545
74,MFN2,,4450,4450
75,MIIP,,4452,4452
76,VPS13D,,630,630
77,DHRS3,,10319,10319
78,PRDM2,,4462,4462
79,EFHD2,,7954,7954
80,DNAJC16,,4392,4392
81,DDI2,,15983,15983
82,PLEKHM2,,4475,4475
83,FBLIM1,,10313,10313
84,SPEN,,904,904
85,ZBTB17,,4478,4478
86,EPHA2,,7952,7952
87,FBXO42,,525,525
88,SZRD1,,723,723
89,NECAP2,,9679,9679
90,NBPF1,,17267,17267
91,MFAP2,,4519,4519
92,ATP13A2,,9938,9938
93,SDHB,,4518,4518
94,RCC2,,13796,13796
95,IFFO2,,12179,12179
96,UBR4,,5712,5712
97,EMC1,,5710,5710
98,MRTO4,,692,692
99,AKR7A2,,691,691
100,SLC66A1,,552,552
101,CAPZB,,1349,1349
102,MICOS10,,12905,12905
103,OTUD3,,12162,12162
104,CAMK2N1,,10330,10330
105,MUL1,,1819,1819
106,PINK1,,9872,9872
107,DDOST,,17765,17765
108,HP1BP3,,5713,5713
109,EIF4G3,,1247,1247
110,ECE1,,4539,4539
111,USP48,,1837,1837
112,HSPG2,,7975,7975
113,CDC42,,18544,-1
114,ZBTB40,,14708,14708
115,EPHB2,,6478,6478
116,KDM1A,,50,50
117,LUZP1,,12105,12105
118,HNRNPR,,5557,5557
119,ID3,,4542,4542
120,RPL11,,18545,-1
121,ELOA,,269,269
122,PITHD1,,758,758
123,LYPLA2,,270,270
124,GALE,,4541,4541
125,HMGCL,,4540,4540
126,FUCA1,,13819,13819
127,PNRC2,,15617,15617
128,SRSF10,,15461,15461
129,STPG1,,10,10
130,NIPAL3,,11,11
131,RCAN3,,4587,4587
132,SRRM1,,6479,6479
133,CLIC4,,12077,12077
134,SYF2,,4588,4588
135,RSRP1,,4589,4589
136,TMEM50A,,14526,14526
137,MACO1,,16567,16567
138,SELENON,,10305,10305
139,MTFR1L,,4593,4593
140,STMN1,,4592,4592
141,ZNF593,,7961,7961
142,SH3BGRL3,,7958,7958
143,DHDDS,,4596,4596
144,HMGN2,,18547,-1
145,ARID1A,,4600,4600
146,PIGV,,794,794
147,GPN2,,7970,7970
148,NUDC,,1812,1812
149,TRNP1,,17892,17892
150,SLC9A1,,1804,1804
151,WDTC1,,7972,7972
152,TMEM222,,15091,15091
153,WASF2,,9795,9795
154,AHDC1,,5634,5634
155,IFI6,,5635,5635
156,FAM76A,,234,234
157,STX12,,4604,4604
158,PPP1R8,,4603,4603
159,RPA2,,4602,4602
160,XKR8,,9788,9788
161,EYA3,,9790,9790
162,DNAJC8,,5633,5633
163,ATP5IF1,,6109,6109
164,SESN2,,6107,6107
165,PHACTR4,,16558,16558
166,RCC1,,13955,13955
167,SNHG3,,18549,-1
168,TRNAU1AP,,13945,13945
169,SNHG12,,18550,-1
170,TAF12,,4907,4907
171,GMEB1,,10303,10303
172,YTHDF2,,16275,16275
173,EPB41,,9889,9889
174,SRSF4,,4418,4418
175,MECR,,4419,4419
176,PUM1,,6673,6673
177,SNRNP40,,796,796
178,ZCCHC17,,5025,5025
179,SERINC2,,11869,11869
180,PEF1,,10323,10323
181,SPOCD1,,6674,6674
182,PTP4A2,,18551,-1
183,KHDRBS1,,5027,5027
184,TMEM39B,,5028,5028
185,KPNA6,,440,440
186,TXLNA,,1582,1582
187,CCDC28B,,10002,10002
188,TMEM234,,10004,10004
189,EIF3I,,1579,1579
190,HDAC1,,4425,4425
191,MARCKSL1,,13184,13184
192,BSDC1,,10005,10005
193,ZBTB8A,,10006,10006
194,ZBTB8OS,,13371,13371
195,RBBP4,,10325,10325
196,SYNC,,10324,10324
197,KIAA1522,,10326,10326
198,YARS,,6675,6675
199,S100PBP,,4427,4427
200,TMEM54,,5041,5041
201,AK2,,18552,-1
202,PHC2,,6676,6676
203,SMIM12,,10705,10705
204,TMEM35B,,17755,17755
205,ZMYM6,,10706,10706
206,ZMYM1,,15922,15922
207,SFPQ,,4433,4433
208,ZMYM4,,8518,8518
209,KIAA0319L,,7963,7963
210,NCDN,,386,386
211,PSMB2,,5580,5580
212,C1orf216,,7962,7962
213,CLSPN,,1926,1926
214,AGO1,,1924,1924
215,AGO3,,5581,5581
216,ADPRHL2,,4486,4486
217,TRAPPC3,,700,700
218,MAP7D1,,4487,4487
219,THRAP3,,701,701
220,SH3D21,,17120,17120
221,EVA1B,,7964,7964
222,STK40,,15682,15682
223,LSM10,,14172,14172
224,MRPS15,,18553,-1
225,MEAF6,,10711,10711
226,SNIP1,,10712,10712
227,DNALI1,,10713,10713
228,GNL2,,6678,6678
229,C1orf109,,4494,4494
230,CDCA8,,6677,6677
