local_index,gene_symbol,ensembl_id,global_index,output_index
0,AL391244.3,,19301,-1
1,CHRNB1,,12211,12211
2,SETD2,,18636,-1
3,LIMS2,,1142,1142
4,RAPGEF6,,9888,9888
5,P2RY4,,19302,-1
6,AL662796.1,,19303,-1
7,CLEC2B,,3696,3696
8,P3H4,,7862,7862
9,MRPS15,,18553,-1
10,TSPAN3,,7661,7661
11,CADM1,,14382,14382
12,AL008723.3,,19304,-1
13,AC133963.2,,19305,-1
14,ZNF300P1,,19306,-1
15,NMNAT3,,10704,10704
16,EXO1,,13059,13059
17,TFAP4,,1820,1820
18,AGMO,,15260,15260
19,MRPL32,,18744,-1
20,CYP4F24P,,19307,-1
21,AP003119.1,,19308,-1
22,ZNF628,,16027,16027
23,C19orf57,,6287,6287
24,AL732372.2,,19309,-1
25,SLIT2,,8335,8335
26,AC013452.2,,19310,-1
27,LINC02083,,19311,-1
28,COL5A2,,16584,16584
29,TMEM186,,14733,14733
30,AL139424.2,,19312,-1
31,AC111198.1,,19313,-1
32,ZNF468,,16683,16683
33,NRF1,,3205,3205
34,PSMB9,,17641,17641
35,C3orf38,,13790,13790
36,PLK5,,14982,14982
37,USP18,,14758,14758
38,ZNF697,,7997,7997
39,SHARPIN,,13861,13861
40,VAMP4,,4574,4574
41,AC107068.2,,19314,-1
42,AC245014.3,,19315,-1
43,TMEM230,,1758,1758
44,SPRY4,,15289,15289
45,LRP4,,6661,6661
46,DNAJC12,,3385,3385
47,ATPAF2,,12614,12614
48,SEC14L2,,2089,2089
49,AP003068.2,,19316,-1
50,ASB13,,15739,15739
51,AC025171.2,,18680,-1
52,TMC4,,11633,11633
53,MVB12B,,15865,15865
54,AL162511.1,,19317,-1
55,TSPAN16,,5992,5992
56,ZDHHC8,,2066,2066
57,SLCO1B1,,6656,6656
58,CPQ,,2809,2809
59,UBE2F-SCLY,,19318,-1
60,FUZ,,256,256
61,EVA1A,,4276,4276
62,AC087280.2,,19319,-1
63,AL662890.1,,19320,-1
64,MKRN9P,,19321,-1
65,CST6,,13219,13219
66,LEF1,,7454,7454
67,ACTR3C,,3214,3214
68,FAM32A,,2934,2934
69,IGF1R,,7668,7668
70,ANGPTL2,,7075,7075
71,ARSK,,10852,10852
72,CKAP2,,6943,6943
73,AC010186.2,,19322,-1
74,AC244033.2,,19323,-1
75,AC104758.5,,19324,-1
76,C4orf36,,10634,10634
77,SETD7,,8371,8371
78,GPR63,,3894,3894
79,CDH23,,3332,3332
80,ORMDL2,,5194,5194
81,AC005828.7,,19325,-1
82,ASCC1,,7352,7352
83,ZNF761,,19040,-1
84,SMURF2P1,,19326,-1
85,ATOH8,,11935,11935
86,PSMC3IP,,6217,6217
87,IL9RP3,,19327,-1
88,C3orf52,,4161,4161
89,EIF3A,,3320,3320
90,SGMS2,,10751,10751
91,STIP1,,11847,11847
92,C19orf54,,15455,15455
93,CBR3-AS1,,19328,-1
94,VWDE,,8522,8522
95,AC112719.2,,19329,-1
96,PEMT,,6444,6444
97,DEF6,,424,424
98,AC090229.1,,19330,-1
99,AL354696.2,,19331,-1
100,DUS1L,,12121,12121
101,AL022326.1,,19332,-1
102,CDH16,,11414,11414
103,KCNMB3P1,,19333,-1
104,LYZ,,1817,1817
105,LINC01806,,19334,-1
106,TXNL1,,1862,1862
107,AC097478.1,,19335,-1
108,AC025283.3,,19336,-1
109,CAND2,,8285,8285
110,STXBP5,,10912,10912
111,CFB,,17746,17746
112,AL355312.2,,19337,-1
113,AC254562.2,,19338,-1
114,LINC02478,,19339,-1
115,ENTPD3-AS1,,19340,-1
116,AC244034.2,,19341,-1
117,BDNF-AS,,19342,-1
118,LINC00543,,19343,-1
119,AGPAT4,,446,446
120,LINC01366,,19344,-1
121,AL133338.2,,19345,-1
122,CHMP2A,,6093,6093
123,SPATA8-AS1,,19346,-1
124,RPL29,,18637,-1
125,CRISPLD2,,2692,2692
126,AC092447.7,,19347,-1
127,GASAL1,,19348,-1
128,TICRR,,7693,7693
129,SNAP25-AS1,,19349,-1
130,AC022710.1,,19350,-1
